type,name,category
mfxU32,mfxVideoParam.AllocId,
mfxU16,mfxVideoParam.AsyncDepth,
mfxU16,mfxVideoParam.mfx.LowPower,
mfxU16,mfxVideoParam.mfx.BRCParamMultiplier,
mfxU16,mfxVideoParam.mfx.FrameInfo.ChannelId,
mfxU16,mfxVideoParam.mfx.FrameInfo.BitDepthLuma,
mfxU16,mfxVideoParam.mfx.FrameInfo.BitDepthChroma,
mfxU16,mfxVideoParam.mfx.FrameInfo.Shift,
mfxU16,mfxVideoParam.mfx.FrameInfo.FrameId.TemporalId,
mfxU16,mfxVideoParam.mfx.FrameInfo.FrameId.PriorityId,
mfxU16,mfxVideoParam.mfx.FrameInfo.FrameId.DependencyId,
mfxU16,mfxVideoParam.mfx.FrameInfo.FrameId.QualityId,
mfxU16,mfxVideoParam.mfx.FrameInfo.FrameId.ViewId,
mfxU32,mfxVideoParam.mfx.FrameInfo.FourCC,
mfxU16,mfxVideoParam.mfx.FrameInfo.Width,
mfxU16,mfxVideoParam.mfx.FrameInfo.Height,
mfxU16,mfxVideoParam.mfx.FrameInfo.CropX,
mfxU16,mfxVideoParam.mfx.FrameInfo.CropY,
mfxU16,mfxVideoParam.mfx.FrameInfo.CropW,
mfxU16,mfxVideoParam.mfx.FrameInfo.CropH,
mfxU64,mfxVideoParam.mfx.FrameInfo.BufferSize,
mfxU32,mfxVideoParam.mfx.FrameInfo.FrameRateExtN,
mfxU32,mfxVideoParam.mfx.FrameInfo.FrameRateExtD,
mfxU16,mfxVideoParam.mfx.FrameInfo.AspectRatioW,
mfxU16,mfxVideoParam.mfx.FrameInfo.AspectRatioH,
mfxU16,mfxVideoParam.mfx.FrameInfo.PicStruct,
mfxU16,mfxVideoParam.mfx.FrameInfo.ChromaFormat,
mfxU32,mfxVideoParam.mfx.CodecId,
mfxU16,mfxVideoParam.mfx.CodecProfile,
mfxU16,mfxVideoParam.mfx.CodecLevel,
mfxU16,mfxVideoParam.mfx.NumThread,
mfxU16,mfxVideoParam.mfx.TargetUsage,
mfxU16,mfxVideoParam.mfx.GopPicSize,
mfxU16,mfxVideoParam.mfx.GopRefDist,
mfxU16,mfxVideoParam.mfx.GopOptFlag,
mfxU16,mfxVideoParam.mfx.IdrInterval,
mfxU16,mfxVideoParam.mfx.RateControlMethod,
mfxU16,mfxVideoParam.mfx.InitialDelayInKB,
mfxU16,mfxVideoParam.mfx.QPI,
mfxU16,mfxVideoParam.mfx.Accuracy,
mfxU16,mfxVideoParam.mfx.BufferSizeInKB,
mfxU16,mfxVideoParam.mfx.TargetKbps,
mfxU16,mfxVideoParam.mfx.QPP,
mfxU16,mfxVideoParam.mfx.ICQQuality,
mfxU16,mfxVideoParam.mfx.MaxKbps,
mfxU16,mfxVideoParam.mfx.QPB,
mfxU16,mfxVideoParam.mfx.Convergence,
mfxU16,mfxVideoParam.mfx.NumSlice,
mfxU16,mfxVideoParam.mfx.NumRefFrame,
mfxU16,mfxVideoParam.mfx.EncodedOrder,
mfxU16,mfxVideoParam.mfx.DecodedOrder,
mfxU16,mfxVideoParam.mfx.ExtendedPicStruct,
mfxU16,mfxVideoParam.mfx.TimeStampCalc,
mfxU16,mfxVideoParam.mfx.SliceGroupsPresent,
mfxU16,mfxVideoParam.mfx.MaxDecFrameBuffering,
mfxU16,mfxVideoParam.mfx.EnableReallocRequest,
mfxU16,mfxVideoParam.mfx.FilmGrain,
mfxU16,mfxVideoParam.mfx.IgnoreLevelConstrain,
mfxU16,mfxVideoParam.mfx.SkipOutput,
mfxU16,mfxVideoParam.mfx.JPEGChromaFormat,
mfxU16,mfxVideoParam.mfx.Rotation,
mfxU16,mfxVideoParam.mfx.JPEGColorFormat,
mfxU16,mfxVideoParam.mfx.InterleavedDec,
mfxU8,mfxVideoParam.mfx.SamplingFactorH[4],array
mfxU8,mfxVideoParam.mfx.SamplingFactorV[4],array
mfxU16,mfxVideoParam.mfx.Interleaved,
mfxU16,mfxVideoParam.mfx.Quality,
mfxU16,mfxVideoParam.mfx.RestartInterval,
mfxU16,mfxVideoParam.vpp.In.ChannelId,
mfxU16,mfxVideoParam.vpp.In.BitDepthLuma,
mfxU16,mfxVideoParam.vpp.In.BitDepthChroma,
mfxU16,mfxVideoParam.vpp.In.Shift,
mfxU16,mfxVideoParam.vpp.In.FrameId.TemporalId,
mfxU16,mfxVideoParam.vpp.In.FrameId.PriorityId,
mfxU16,mfxVideoParam.vpp.In.FrameId.DependencyId,
mfxU16,mfxVideoParam.vpp.In.FrameId.QualityId,
mfxU16,mfxVideoParam.vpp.In.FrameId.ViewId,
mfxU32,mfxVideoParam.vpp.In.FourCC,
mfxU16,mfxVideoParam.vpp.In.Width,
mfxU16,mfxVideoParam.vpp.In.Height,
mfxU16,mfxVideoParam.vpp.In.CropX,
mfxU16,mfxVideoParam.vpp.In.CropY,
mfxU16,mfxVideoParam.vpp.In.CropW,
mfxU16,mfxVideoParam.vpp.In.CropH,
mfxU64,mfxVideoParam.vpp.In.BufferSize,
mfxU32,mfxVideoParam.vpp.In.FrameRateExtN,
mfxU32,mfxVideoParam.vpp.In.FrameRateExtD,
mfxU16,mfxVideoParam.vpp.In.AspectRatioW,
mfxU16,mfxVideoParam.vpp.In.AspectRatioH,
mfxU16,mfxVideoParam.vpp.In.PicStruct,
mfxU16,mfxVideoParam.vpp.In.ChromaFormat,
mfxU16,mfxVideoParam.vpp.Out.ChannelId,
mfxU16,mfxVideoParam.vpp.Out.BitDepthLuma,
mfxU16,mfxVideoParam.vpp.Out.BitDepthChroma,
mfxU16,mfxVideoParam.vpp.Out.Shift,
mfxU16,mfxVideoParam.vpp.Out.FrameId.TemporalId,
mfxU16,mfxVideoParam.vpp.Out.FrameId.PriorityId,
mfxU16,mfxVideoParam.vpp.Out.FrameId.DependencyId,
mfxU16,mfxVideoParam.vpp.Out.FrameId.QualityId,
mfxU16,mfxVideoParam.vpp.Out.FrameId.ViewId,
mfxU32,mfxVideoParam.vpp.Out.FourCC,
mfxU16,mfxVideoParam.vpp.Out.Width,
mfxU16,mfxVideoParam.vpp.Out.Height,
mfxU16,mfxVideoParam.vpp.Out.CropX,
mfxU16,mfxVideoParam.vpp.Out.CropY,
mfxU16,mfxVideoParam.vpp.Out.CropW,
mfxU16,mfxVideoParam.vpp.Out.CropH,
mfxU64,mfxVideoParam.vpp.Out.BufferSize,
mfxU32,mfxVideoParam.vpp.Out.FrameRateExtN,
mfxU32,mfxVideoParam.vpp.Out.FrameRateExtD,
mfxU16,mfxVideoParam.vpp.Out.AspectRatioW,
mfxU16,mfxVideoParam.vpp.Out.AspectRatioH,
mfxU16,mfxVideoParam.vpp.Out.PicStruct,
mfxU16,mfxVideoParam.vpp.Out.ChromaFormat,
mfxU16,mfxVideoParam.Protected,
mfxU16,mfxVideoParam.IOPattern,
mfxU32,mfxVideoParam.ExtParam*.BufferId,pointer
mfxU32,mfxVideoParam.ExtParam*.BufferSz,pointer
mfxU16,mfxVideoParam.NumExtParam,
mfxU16,mfxExtAV1BitstreamParam.WriteIVFHeaders,
mfxU16,mfxExtAV1FilmGrainParam.FilmGrainFlags,
mfxU16,mfxExtAV1FilmGrainParam.GrainSeed,
mfxU8,mfxExtAV1FilmGrainParam.RefIdx,
mfxU8,mfxExtAV1FilmGrainParam.NumYPoints,
mfxU8,mfxExtAV1FilmGrainParam.NumCbPoints,
mfxU8,mfxExtAV1FilmGrainParam.NumCrPoints,
mfxU8,mfxExtAV1FilmGrainParam.PointY[14].Value,array
mfxU8,mfxExtAV1FilmGrainParam.PointY[14].Scaling,array
mfxU8,mfxExtAV1FilmGrainParam.PointCb[10].Value,array
